Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A1-A0SF,0.4291618,0.37089828,0.8180278,0.18460064,0.690349,0.6047574,0.6134032,0.86080766,0.41188,0.3098729,0.39954796,0.6743305,0.23647103,0.81717896,0.4169597,0.56752056,0.65297997,0.5893026,0.70602816,0.6973186,0.65557134,0.7840393,0.43748266,0.5643172,0.5706276,0.6743294,0.70123005,0.63954616,0.5001825,0.8416681,0.5174327,0.75498503,0.3813492,0.5570359,0.67732334,0.5609135,0.7829235,0.43404746,0.69355017,0.5507467,0.4690031,0.59273696,0.7479604,0.7468572,0.2321162,0.24290586,0.20285557,0.84340537,0.8128332,0.63380086,0.4522062,0.69803077,0.35652727,0.45374474,0.69552404,0.15429044,0.45591077,0.45038894,0.659534,0.820947,0.501962,0.816901,0.75124437,0.67501783,0.54432833,0.41626185,0.51496047,0.32382396,0.5756514,0.39093295,0.5803148,0.2837082,0.5619519,0.5640589,0.5382637,0.4856028,0.53282416,0.9019642,0.7439977,0.6536608,0.32033905,0.75288403,0.29976276,0.40144414,0.7616403,0.57182413,0.85836816,0.5259412,0.537749,0.5523569,0.7255392,0.640866,0.47388664,0.3974341,0.25599414,0.23383877,0.6265922,0.6932956,0.6296065,0.5727455
A1-A0SJ,0.15641844,0.84593946,0.78859335,0.08764669,0.32350403,0.420465,0.33081144,0.6843424,0.62000376,0.66348195,0.8288586,0.73890257,0.86451036,0.7784445,0.4302212,0.58974326,0.48622587,0.5118817,0.79394376,0.6867994,0.43758887,0.37909743,0.52206814,0.13458785,0.54757416,0.4592638,0.8522794,0.7274772,0.8195083,0.6805139,0.5842933,0.7640013,0.66997826,0.7057132,0.3918848,0.52376604,0.43371826,0.81838816,0.26347616,0.62616026,0.5687241,0.52946794,0.944122,0.85039234,0.34169498,0.41597542,0.6893618,0.4626209,0.55942184,0.19469991,0.86681944,0.82991326,0.1744986,0.611608,0.84012926,0.53983015,0.38940227,0.6713253,0.2607134,0.6966804,0.49174947,0.71555996,0.68057764,0.22231647,0.29944107,0.80269194,0.5252339,0.28441656,0.6898673,0.36403176,0.69142616,0.45753437,0.6274339,0.35296586,0.47960174,0.30423856,0.36927307,0.81192946,0.88104916,0.44583994,0.31037226,0.6821981,0.55707383,0.63734573,0.5996537,0.21010533,0.5069431,0.69014674,0.46766084,0.84066427,0.4489799,0.7364645,0.36409783,0.3332554,0.76468873,0.21077436,0.70006365,0.3498563,0.42435646,0.48805186
A1-A0SK,0.9140533,0.3829071,0.04612847,0.82323956,0.124440625,0.09862442,0.9692001,0.7482118,0.62353224,0.87701714,0.13068427,0.22361362,0.8437605,0.10609343,0.27067357,0.115747645,0.9319401,0.026594225,0.3533213,0.40478063,0.13187817,0.19658661,0.4969955,0.26663786,0.9571011,0.9294634,0.47923678,0.8943289,0.74452674,0.076199986,0.93126607,0.07627133,0.26421475,0.8848139,0.15190011,0.5184902,0.8707159,0.9490255,0.7393317,0.88957083,0.26577803,0.8611476,0.3383863,0.21477902,0.58202773,0.7218792,0.9418453,0.20779914,0.8886938,0.3509475,0.7024234,0.13344744,0.05565693,0.3365656,0.23872012,0.06331243,0.5157593,0.1936683,0.20041324,0.8901949,0.9669224,0.22540773,0.81545377,0.07346682,0.2651763,0.75598603,0.96198344,0.9424108,0.19805972,0.07788299,0.17092918,0.26390928,0.13382828,0.31012076,0.7869684,0.9221667,0.5403578,0.9151263,0.86784023,0.07875121,0.95699555,0.93859303,0.8766313,0.07701795,0.9053929,0.93438125,0.43228903,0.95311844,0.9214195,0.78813887,0.37282863,0.09135747,0.32613358,0.37059045,0.90357924,0.14684166,0.5777893,0.40088636,0.06699935,0.92676693
A1-A0SO,0.8878478,0.28977475,0.080210865,0.7679387,0.19446698,0.1267564,0.8016536,0.8356491,0.7846412,0.9481152,0.109853685,0.7288604,0.60873604,0.5676201,0.1582891,0.2944707,0.67577356,0.47487554,0.25627786,0.6909437,0.1181646,0.4367874,0.25394735,0.26058453,0.8707018,0.9049506,0.22770205,0.3290566,0.11689651,0.30732745,0.8207884,0.27300864,0.7261606,0.6430758,0.11747263,0.84261084,0.23180462,0.9365057,0.5557623,0.5425147,0.42638206,0.77790135,0.7430483,0.114707984,0.9288189,0.60987276,0.91968524,0.38689315,0.49408108,0.20129001,0.3117109,0.38554296,0.68051594,0.38111067,0.3779467,0.6739512,0.62043947,0.21982251,0.2808826,0.66768783,0.9011196,0.15012707,0.6665396,0.2567336,0.5575886,0.93669343,0.6455422,0.80790114,0.4889776,0.40675303,0.19542994,0.32467443,0.18659526,0.29394636,0.7465894,0.5575087,0.78071666,0.8080722,0.52015495,0.21553722,0.9448564,0.9200916,0.66592884,0.14351445,0.8955335,0.91143334,0.33448422,0.9040284,0.8494814,0.5108791,0.89646363,0.17223899,0.39870578,0.5396458,0.7734126,0.4320342,0.36836866,0.88016385,0.21154435,0.82229483
A1-A0SQ,0.28502035,0.77527094,0.88042164,0.18837197,0.5661011,0.41656566,0.17431812,0.8602675,0.93103886,0.33132267,0.43006992,0.7883809,0.42628986,0.8178991,0.5688655,0.18927014,0.3004325,0.4976793,0.5839891,0.5818932,0.2710833,0.5991015,0.39067486,0.079698995,0.6995646,0.6486081,0.415932,0.79398423,0.748337,0.83056164,0.8764721,0.80495846,0.7080174,0.6887333,0.755413,0.6324855,0.3011885,0.5016646,0.5154431,0.48257044,0.13285182,0.7592233,0.4763663,0.57382023,0.29529232,0.21834728,0.5124409,0.5403955,0.519491,0.11670239,0.58183014,0.24889296,0.23696244,0.4935869,0.74022204,0.29070896,0.7151871,0.24706207,0.5973763,0.51370215,0.7850433,0.3962382,0.8125056,0.22211161,0.66034347,0.78337336,0.22776784,0.15972012,0.6693895,0.8849441,0.9225131,0.31393984,0.5184357,0.7454642,0.77694845,0.4127727,0.19130687,0.8492052,0.8020958,0.5998466,0.5235378,0.47377676,0.42775464,0.68286943,0.24166869,0.5780838,0.84803236,0.7559628,0.78559816,0.56866026,0.50875807,0.7621788,0.33014274,0.20885098,0.38718855,0.20987776,0.8188238,0.3964194,0.6969112,0.16853486
A2-A04N,0.58657724,0.5672382,0.7631963,0.47422928,0.31252086,0.68569815,0.6183435,0.2501092,0.13433458,0.52106553,0.8224863,0.22122216,0.4302168,0.76372457,0.57379854,0.6572137,0.77206826,0.3271453,0.68706393,0.7418686,0.7450885,0.8620192,0.4712655,0.8791484,0.44719058,0.55526227,0.84164345,0.84559363,0.5861279,0.59994626,0.1844966,0.58720404,0.24813928,0.3107813,0.694335,0.4230043,0.9213847,0.8056544,0.65076387,0.60955185,0.5778013,0.62961125,0.8319128,0.79769766,0.35539702,0.673759,0.174696,0.4115653,0.84043735,0.5037408,0.771504,0.8282986,0.5413256,0.82352185,0.42758685,0.4084947,0.30899104,0.6286888,0.56218696,0.785963,0.44407457,0.81071484,0.6094624,0.5131355,0.4468246,0.153002,0.79449874,0.62180805,0.7384574,0.2753015,0.52330863,0.44828492,0.30839023,0.45742252,0.37071782,0.31056702,0.63861114,0.6778037,0.66307163,0.7252455,0.2450041,0.650338,0.72555304,0.4078925,0.37525016,0.28837562,0.6604247,0.2892056,0.51589495,0.493927,0.48815495,0.6066605,0.68070114,0.44548684,0.22011724,0.14502832,0.8285824,0.5974591,0.75410545,0.39418823
A2-A04P,0.423199,0.6066544,0.701869,0.38335496,0.7404243,0.34750378,0.573047,0.8694645,0.13415235,0.39386505,0.42221624,0.84657866,0.5901958,0.72202647,0.10375365,0.2956136,0.6200794,0.8092179,0.28962165,0.2641676,0.8432748,0.11989961,0.18724377,0.58583474,0.6716869,0.71184623,0.60540414,0.25758898,0.10795737,0.41765726,0.743786,0.22733599,0.20311303,0.14907143,0.69669896,0.11113691,0.50748265,0.33546746,0.92377186,0.9197911,0.19864497,0.5518638,0.19738555,0.62184703,0.5634278,0.7586061,0.2716324,0.83550495,0.087837145,0.92033017,0.27387235,0.5953626,0.74870896,0.3935308,0.372751,0.6301094,0.16959898,0.26778316,0.50211775,0.89217347,0.7529107,0.30330655,0.32245463,0.7542053,0.67229736,0.7657048,0.1561779,0.7922263,0.3214491,0.12391795,0.17495072,0.39903682,0.6654907,0.12026727,0.83156395,0.25149125,0.570738,0.3672184,0.15508854,0.9049387,0.31541845,0.74597883,0.78905034,0.2728694,0.8218023,0.6445763,0.88142294,0.68255955,0.54932886,0.90782577,0.9050845,0.6578891,0.30110866,0.49025357,0.5406275,0.15683906,0.4009271,0.93252456,0.16803254,0.9057076
A2-A04Q,0.7938226,0.85265785,0.7841524,0.67292595,0.5961079,0.7771903,0.6993147,0.66037434,0.7052359,0.23317187,0.5267808,0.8433007,0.7153729,0.5019197,0.14313455,0.8091893,0.7214754,0.40527773,0.5091181,0.5061505,0.8624665,0.5022854,0.75899935,0.8548835,0.438383,0.41477704,0.2636893,0.14157781,0.42935959,0.6952131,0.7620007,0.3589605,0.22235763,0.5615651,0.72559965,0.14403087,0.21832332,0.12680495,0.48699242,0.26360333,0.18526222,0.29016966,0.3453005,0.44738495,0.27483827,0.70394254,0.40302467,0.8783545,0.53286976,0.6846336,0.27350113,0.6338446,0.57466996,0.1885075,0.36625254,0.49919182,0.16802701,0.45471883,0.3514439,0.68272465,0.6882282,0.90108836,0.5891304,0.8368304,0.2900182,0.5350753,0.664727,0.3286007,0.23270684,0.38332292,0.24028945,0.4110599,0.93023264,0.7259247,0.6687082,0.3448756,0.5871319,0.33784187,0.35749477,0.7371394,0.4194795,0.2765741,0.58194333,0.3037708,0.78881985,0.19663066,0.81619966,0.8468566,0.16541487,0.7897327,0.82674956,0.450475,0.7362617,0.8184136,0.68566054,0.82262856,0.49183458,0.63114566,0.38644752,0.8011124
A2-A04T,0.79014105,0.5616276,0.23627454,0.62389654,0.19008693,0.2671821,0.8121085,0.63823426,0.874675,0.78787386,0.15381353,0.53719974,0.82794213,0.31514564,0.1003592,0.64824843,0.79973906,0.4314423,0.32166114,0.4117617,0.31515875,0.53500074,0.26090732,0.76532876,0.7650275,0.61337936,0.24465626,0.1746284,0.4960758,0.3475073,0.6534201,0.23719122,0.20769541,0.52840716,0.25889936,0.19024175,0.565835,0.72074306,0.6024763,0.70024055,0.25381857,0.37684643,0.20983508,0.23204061,0.87220424,0.7200546,0.9053992,0.7541765,0.22818583,0.7058771,0.45098054,0.49361366,0.7016612,0.3465062,0.38078177,0.6759965,0.24916756,0.25905693,0.26689667,0.8256094,0.80864465,0.31431162,0.31115603,0.100652486,0.5690585,0.8497521,0.847307,0.5162662,0.21322604,0.12083683,0.29702696,0.23278645,0.40474766,0.5373179,0.8127818,0.41314313,0.65450764,0.5685084,0.23946355,0.63587236,0.775882,0.62168634,0.75300103,0.14436764,0.6622993,0.7811951,0.58364993,0.87994695,0.37346634,0.8575741,0.59803104,0.29886466,0.52736527,0.48315692,0.89015174,0.30320674,0.17316575,0.75441575,0.18605804,0.8382127
A2-A04W,0.37206262,0.70866007,0.5217955,0.28652412,0.68860006,0.4276726,0.34253433,0.24985662,0.057498105,0.10091165,0.61265475,0.4991527,0.58003175,0.9007591,0.6152011,0.3896847,0.31790704,0.8194152,0.30286342,0.3799574,0.7951324,0.25451654,0.35055172,0.5990368,0.9189664,0.8976286,0.5190749,0.5826982,0.24477687,0.19750342,0.46928644,0.5175976,0.20658906,0.11439687,0.8976579,0.33354825,0.5931791,0.52281904,0.9000622,0.77887267,0.73667425,0.7878766,0.66028005,0.3658263,0.9422442,0.529228,0.3272483,0.675798,0.48476547,0.7620187,0.7595873,0.73557025,0.17727056,0.770045,0.36518386,0.84220874,0.70723176,0.7048173,0.40495896,0.42169023,0.5927907,0.64026165,0.5160318,0.45175487,0.6555845,0.27513516,0.20797017,0.39190808,0.27410004,0.4254173,0.8699706,0.422778,0.74163216,0.6524458,0.60692656,0.9597809,0.9150871,0.3512866,0.32990196,0.87904155,0.11922891,0.7249561,0.91624737,0.6412393,0.7720089,0.16877271,0.52067125,0.6453027,0.3974731,0.42901498,0.8711011,0.6574522,0.5972306,0.28064483,0.28176618,0.11540267,0.85452116,0.43025446,0.3335468,0.7439034
