10,20,30,40,50,60,70,80,90,100
GML,FNTA,FNTA,FNTA,FNTA,FNTA,FNTA,FNTA,FNTA,FNTA
NPLOC4,PPP1R1B,PPP1R1B,PPP1R1B,PPP1R1B,PPP1R1B,PPP1R1B,PPP1R1B,KAT6A,KAT6A
RPL8,GML,ADAM32,TCAP,TCAP,TCAP,KAT6A,KAT6A,PPP1R1B,ADAM2
MROH1,TEX19,GML,STARD3,STARD3,ERBB2,TCAP,ADAM2,ADAM2,PPP1R1B
IKBKB,NPLOC4,TCAP,KAT6A,KAT6A,STARD3,ERBB2,ERBB2,TM2D2,ERBB2
ASPSCR1,RPL8,EIF4EBP1,ERBB2,ERBB2,KAT6A,ADAM2,TCAP,ERBB2,ZMAT4
EIF4EBP1,IKBKB,NPLOC4,EIF4EBP1,PGAP3,ADAM2,STARD3,TM2D2,TCAP,TM2D2
CHRAC1,EIF4EBP1,TEX19,ADAM2,ADAM2,PGAP3,TM2D2,STARD3,ZMAT4,TCAP
LY6H,MROH1,KAT6A,PGAP3,PNMT,TM2D2,PGAP3,PGAP3,STARD3,GOLGA7
CYC1,CHRAC1,IKBKB,TM2D2,EIF4EBP1,PNMT,MIEN1,MIEN1,HTRA4,STARD3
TEX19,ASPSCR1,STARD3,IKBKB,TM2D2,MIEN1,PNMT,ZMAT4,PGAP3,GPAT4
COMMD5,B3GNTL1,TM2D2,ADAM32,IKBKB,EIF4EBP1,EIF4EBP1,HTRA4,GPAT4,HTRA4
FNTA,ZMAT4,ADAM2,PNMT,MIEN1,ADAM32,IKBKB,EIF4EBP1,GOLGA7,MIEN1
BOP1,ADAM32,ADAM18,GML,ADAM32,IKZF3,IKZF3,PNMT,MIEN1,PGAP3
CBX8,CCDC40,ZMAT4,NEUROD2,IKZF3,IKBKB,ADAM32,IKBKB,EIF4EBP1,IKBKB
PPP1R1B,ADAM18,RPL8,ZMAT4,NEUROD2,HTRA4,ZPBP2,GPAT4,IKBKB,EIF4EBP1
B3GNTL1,COMMD5,CHRAC1,ADAM18,PTEN,ZPBP2,HTRA4,ADAM32,PLEKHA2,ANK1
SIRT7,MFSD3,ERBB2,NPLOC4,ZPBP2,NEUROD2,ZMAT4,IKZF3,IKZF3,ZPBP2
