10,20,30,40,50,60,70,80,90,100
SCGB2A2,SCGB2A2,SCGB2A2,CLEC3A,CLEC3A,CLEC3A,CLEC3A,CLEC3A,CLEC3A,CLEC3A
TFF1,TFF1,CLEC3A,SCGB2A2,SCGB2A2,SCGB2A2,SCGB2A2,SCGB2A2,SCGB2A2,SCGB2A2
SCGB1D2,CLEC3A,TFF1,CPB1,CPB1,CPB1,CPB1,CPB1,CPB1,CPB1
LTF,CPB1,CPB1,TFF1,TFF1,TFF1,TFF1,TFF1,TFF1,TFF1
CPB1,SCGB1D2,PIP,PIP,PIP,PIP,PIP,PIP,PIP,PIP
PIP,AGR2,AGR2,AGR2,AGR2,AGR2,AGR2,CEACAM6,CEACAM6,CEACAM6
S100A7,PIP,SCGB1D2,SCGB1D2,SCGB1D2,SCGB1D2,SCGB1D2,AGR2,LTF,LTF
AGR2,LTF,LTF,LTF,LTF,LTF,LTF,LTF,SCGB1D2,AGR2
CEACAM6,S100A7,S100A7,S100A7,CEACAM6,CEACAM6,CEACAM6,SCGB1D2,AGR2,SCGB1D2
CLEC3A,CEACAM6,CEACAM6,CEACAM6,S100A7,S100A7,FDCSP,FDCSP,FDCSP,FDCSP
NPY1R,NPY1R,NPY1R,NPY1R,NPY1R,FDCSP,S100A7,S100A7,S100A7,NPY1R
FDCSP,FDCSP,FDCSP,FDCSP,FDCSP,NPY1R,NPY1R,NPY1R,NPY1R,TAT
CALML5,CALML5,CALML5,TAT,TAT,TAT,TAT,TAT,TAT,S100A7
S100A9,S100A9,S100A9,CALML5,SFRP1,SFRP1,SFRP1,CALML5,CALML5,MUCL1
MUCL1,SFRP1,SFRP1,SFRP1,CALML5,CALML5,CALML5,SFRP1,MUCL1,CLIC6
TFF3,TFF3,TAT,S100A9,S100A9,S100A9,S100A9,S100A9,CLIC6,MTRNR2L1
SFRP1,SLPI,TFF3,MUCL1,MUCL1,MUCL1,CLIC6,CLIC6,SFRP1,CALML5
SLPI,MUCL1,MUCL1,TFF3,TFF3,CLIC6,MUCL1,MUCL1,MTRNR2L1,SFRP1
STC2,STC2,GFRA1,GFRA1,PPP1R1B,TFF3,CYP4Z1,CYP4Z1,S100A9,S100A9
AGR3,GFRA1,SLPI,PPP1R1B,GFRA1,PPP1R1B,PPP1R1B,MTRNR2L1,CYP4Z1,CYP4Z1
KRT5,KRT5,KRT5,SLPI,SLPI,SLPI,MTRNR2L1,KRT14,KRT14,KRT14
PPP1R1B,AGR3,STC2,KRT5,KRT5,KRT5,TFF3,PPP1R1B,PPP1R1B,UGT2B11
GFRA1,PPP1R1B,AGR3,AGR3,CLIC6,CYP4Z1,SLPI,KRT5,KRT5,CRABP1
