epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
ERALPHA,ERALPHA,ERALPHA,ERALPHA,ERALPHA,ERALPHA,ERALPHA,ERALPHA,ERALPHA,ERALPHA
MYH11,MYH11,MYH11,MYH11,EPPK1,EPPK1,EPPK1,EPPK1,EPPK1,EPPK1
EPPK1,GATA3,GATA3,EPPK1,MYH11,MYH11,MYH11,MYH11,MYH11,MYH11
GATA3,EPPK1,EPPK1,FASN,FASN,FASN,FASN,ECADHERIN,ECADHERIN,FASN
INPP4B,INPP4B,FASN,GATA3,ECADHERIN,ECADHERIN,ECADHERIN,FASN,FASN,ECADHERIN
ECADHERIN,FASN,INPP4B,ECADHERIN,GATA3,GATA3,GATA3,INPP4B,INPP4B,INPP4B
FASN,ECADHERIN,ECADHERIN,HER2,HER2,HER2,INPP4B,GATA3,GATA3,GAPDH
HER2,HER2,HER2,INPP4B,INPP4B,GAPDH,HER2,GAPDH,GAPDH,GATA3
GAPDH,AR,AR,AR,GAPDH,INPP4B,GAPDH,HER2,HER2,AR
CAVEOLIN1,CAVEOLIN1,CAVEOLIN1,CAVEOLIN1,HER2_pY1248,AR,AR,AR,AR,HER2
AR,GAPDH,HER2_pY1248,HER2_pY1248,CAVEOLIN1,CAVEOLIN1,CASPASE7CLEAVEDD198,CASPASE7CLEAVEDD198,CASPASE7CLEAVEDD198,IGFBP2
IGFBP2,CYCLINB1,GAPDH,GAPDH,AR,CASPASE7CLEAVEDD198,CAVEOLIN1,CAVEOLIN1,IGFBP2,CASPASE7CLEAVEDD198
CYCLINB1,IGFBP2,IGFBP2,IGFBP2,ACETYLATUBULINLYS40,HER2_pY1248,IGFBP2,IGFBP2,CAVEOLIN1,DUSP4
HER2_pY1248,HER2_pY1248,CYCLINB1,ACETYLATUBULINLYS40,IGFBP2,ACETYLATUBULINLYS40,ACETYLATUBULINLYS40,DUSP4,DUSP4,CAVEOLIN1
COLLAGENVI,ACETYLATUBULINLYS40,ACETYLATUBULINLYS40,CYCLINB1,CASPASE7CLEAVEDD198,IGFBP2,DUSP4,ACETYLATUBULINLYS40,ACETYLATUBULINLYS40,ACETYLATUBULINLYS40
ACETYLATUBULINLYS40,COLLAGENVI,AKT_pS473,AKT_pS473,AKT_pS473,DUSP4,HER2_pY1248,HER2_pY1248,CYCLINB1,PREX1
HSP70,AKT_pS473,COLLAGENVI,CASPASE7CLEAVEDD198,DUSP4,AKT_pS473,AKT_pS473,CYCLINB1,HER2_pY1248,CYCLINB1
AKT_pS473,PREX1,EGFR_pY1068,DUSP4,CYCLINB1,CYCLINB1,CYCLINB1,AKT_pS473,TFRC,TFRC
PREX1,HSP70,BETACATENIN,EGFR_pY1068,BETACATENIN,PDCD4,PDCD4,PDCD4,AKT_pS473,HER2_pY1248
AKT_pT308,BETACATENIN,PREX1,BETACATENIN,PREX1,BETACATENIN,PREX1,TFRC,PDCD4,PDCD4
EGFR_pY1068,EGFR_pY1068,HSP70,PREX1,PDCD4,PREX1,BETACATENIN,PREX1,PREX1,AKT_pS473
BETACATENIN,AKT_pT308,DUSP4,COLLAGENVI,EGFR_pY1068,TFRC,TFRC,CLAUDIN7,CLAUDIN7,CLAUDIN7
MAPK_pT202Y204,RBM15,CASPASE7CLEAVEDD198,HSP70,COLLAGENVI,FIBRONECTIN,CLAUDIN7,BETACATENIN,BETACATENIN,HSP70
S6_pS240S244,ACC_pS79,AKT_pT308,PDCD4,TFRC,ACC1,FIBRONECTIN,FIBRONECTIN,HSP70,BETACATENIN
CLAUDIN7,CASPASE7CLEAVEDD198,TFRC,AKT_pT308,HSP70,CLAUDIN7,ACC1,NDRG1_pT346,FIBRONECTIN,NDRG1_pT346
ACC_pS79,TFRC,BCL2,TFRC,AKT_pT308,NDRG1_pT346,NDRG1_pT346,ACC1,ACC1,COLLAGENVI
RBM15,DUSP4,RBM15,NDRG1_pT346,NDRG1_pT346,COLLAGENVI,HSP70,HSP70,NDRG1_pT346,FIBRONECTIN
CASPASE7CLEAVEDD198,MAPK_pT202Y204,ACC_pS79,BCL2,ACC1,HSP70,COLLAGENVI,COLLAGENVI,COLLAGENVI,ACC1
TFRC,BCL2,PDCD4,ACC_pS79,CLAUDIN7,AKT_pT308,NFKBP65_pS536,NFKBP65_pS536,ACC_pS79,ACC_pS79
DUSP4,PDCD4,NDRG1_pT346,ACC1,ACC_pS79,EGFR_pY1068,AKT_pT308,ACC_pS79,NFKBP65_pS536,NFKBP65_pS536
P62LCKLIGAND,CLAUDIN7,P62LCKLIGAND,RBM15,FIBRONECTIN,NFKBP65_pS536,ACC_pS79,AKT_pT308,BRAF,BRAF
GSK3_pS9,P62LCKLIGAND,MAPK_pT202Y204,P62LCKLIGAND,BCL2,ACC_pS79,EGFR_pY1068,BRAF,S6_pS240S244,P62LCKLIGAND
STAT5ALPHA,S6_pS240S244,CLAUDIN7,CLAUDIN7,P62LCKLIGAND,MAPK_pT202Y204,MAPK_pT202Y204,S6_pS240S244,MAPK_pT202Y204,MAPK_pT202Y204
NFKBP65_pS536,SLC1A5,ACC1,MAPK_pT202Y204,RBM15,P62LCKLIGAND,P62LCKLIGAND,MAPK_pT202Y204,AKT_pT308,S6_pS240S244
RB_pS807S811,NFKBP65_pS536,S6_pS240S244,NFKBP65_pS536,MAPK_pT202Y204,BCL2,BRAF,P62LCKLIGAND,P62LCKLIGAND,P16INK4A
ACC1,GSK3_pS9,SLC1A5,FIBRONECTIN,NFKBP65_pS536,RBM15,S6_pS240S244,P16INK4A,P16INK4A,RAB25
PDCD4,ACC1,NFKBP65_pS536,STAT5ALPHA,S6_pS240S244,S6_pS240S244,P16INK4A,RAB25,RAB25,AKT_pT308
